Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.107763369330454,-0.0445,-0.020198432861837,0,0,0,10.6823173170711,0.0124898425373309,2.21422874211196E-18,0.00348506285187222,0.0524375502212246,-4.51307480905537E-19,0.0537557242577893,0,0,0,0,0,0,package://rocr/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/base_link.STL,,base_plate_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_right_arm,0.105749170017255,0.041732238071937,0.0282872144318269,0,0,0,0.165316765586137,0.000610620746206452,-0.000197454180877903,-0.000122729645879153,0.000702185352603574,-0.000186690232637552,0.000631933215587882,0,0,0,0,0,0,package://rocr/meshes/link_right_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rocr/meshes/link_right_arm.STL,,left_arm_final_1-1,Origin_joint_right_arm,Axis_joint_right_arm,joint_right_arm,prismatic,-0.36753,0,-0.072,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_left_arm,-0.0655989557893637,0.0418008535608141,0.127140611347727,0,0,0,0.160992890586137,0.000595308316329433,-8.90928279875958E-05,5.62513948424324E-05,0.000548684708610842,0.000182030001506834,0.000479899493032254,0,0,0,0,0,0,package://rocr/meshes/link_left_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rocr/meshes/link_left_arm.STL,,right_arm_final_1-1,Origin_joint_left_arm,Axis_joint_left_arm,joint_left_arm,prismatic,-0.214,0.066422,-0.072,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_rear_axle,0,0,0.0445,0,0,0,0.0152217234982576,1.19398821903406E-05,-1.91230860492601E-39,1.88140042004344E-23,1.19398821903406E-05,-2.0993020771577E-37,5.46798234902396E-08,0,0,0,0,0,0,package://rocr/meshes/link_rear_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_axle.STL,,rear_axle_1-1,Origin_joint_rear_axle,Axis_joint_rear_axle,joint_rear_axle,continuous,-0.04,0,-0.0616,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
link_rear_right_rim,0,-6.93889390390723E-18,0.00655335417593042,0,0,0,0.0269891429421557,1.06871584170568E-06,-4.82050818462486E-23,-5.58242963112347E-23,1.06871584170568E-06,-7.78986618612618E-23,1.59499688104541E-06,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_rim.STL,,wheel_1-2,Origin_joint_rear_right_rim,,joint_rear_right_rim,fixed,0,0,0,0,0,0,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_right_tyre,6.93889390390723E-18,0,0.00599999999999999,0,0,0,0.00176187281891002,1.38738251479273E-07,-2.76591370085178E-39,3.18518483981357E-38,1.38738251479273E-07,-9.19988344967612E-40,2.34006429114269E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_tyre.STL,,tyre_1-6,Origin_joint_rear_right_tyre,,joint_rear_right_tyre,fixed,0,0,0,0,0,0,link_rear_right_rim,0,0,0,,,,,,,,,,,,
link_rear_left_rim,0,-6.93889390390723E-18,0.00655335417593042,0,0,0,0.0269891429421556,1.06871584170568E-06,1.05879118406788E-22,-8.69058866923709E-23,1.06871584170568E-06,4.5606138607735E-23,1.59499688104541E-06,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_rim.STL,,wheel_1-1,Origin_joint_rear_left_rim,,joint_rear_left_rim,fixed,0,0,0.089,3.1416,0,-2.7485,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_left_tyre,0,0,0.00599999999999998,0,0,0,0.00176187281891002,1.38738251479272E-07,-2.76591370085178E-39,-5.29395592033935E-24,1.38738251479272E-07,-9.19988344967613E-40,2.34006429114269E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_tyre.STL,,tyre_1-7,Origin_joint_rear_left_tyre,Axis_joint_rear_left_tyre,joint_rear_left_tyre,fixed,0,0,0.012,3.14159265358979,0,-2.74849784316327,link_rear_left_rim,0,0,0,,,,,,,,,,,,
link_front_left_axle,0.00270152340084262,-0.0147521862352328,-3.59055389309582E-08,0,0,0,0.00980151610171137,1.13698362232884E-06,3.24392869633284E-07,-1.79913538752389E-12,3.12651828844893E-07,-1.18488336245529E-12,1.38231713607358E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_left_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_axle.STL,,front_axle_1-1,Origin_joint_front_left_axle,Axis_joint_front_left_axle,joint_front_left_axle,revolute,-0.16,-0.074,-0.0346,1.5708,0,-1.6484,base_link,0,0,0,0,0,0,0,,,,,,,,
link_front_left_rim,2.77555756156289E-17,2.60208521396521E-17,-0.00537451041392963,0,0,0,0.0269891429421557,1.06871584170568E-06,2.1237862227299E-22,-3.04402465419514E-22,1.06871584170568E-06,4.96308367531817E-23,1.59499688104541E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_left_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_rim.STL,,wheel_1-5,Origin_joint_front_left_rim,Axis_joint_front_left_rim,joint_front_left_rim,continuous,0.0030721,-0.027,0,-1.5708,1.1039,1.5708,link_front_left_axle,0,0,1,,,,,,,,,,,,
link_front_left_tyre,1.38777878078145E-17,-8.32667268468867E-17,0.00592786458986008,0,0,0,0.00176187281891002,1.38738251479274E-07,3.23117426778526E-24,-4.19794160870662E-23,1.38738251479274E-07,7.44462551297725E-24,2.34006429114269E-07,0,0,0,0,0,0,package://rocr/meshes/link_front_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_tyre.STL,,tyre_1-8,Origin_joint_front_left_tyre,,joint_front_left_tyre,fixed,0,0,0,3.1416,0,-0.81007,link_front_left_rim,0,0,0,,,,,,,,,,,,
link_front_right_axle,0.00270152786594034,-0.0147521828374566,-6.07548128472857E-09,0,0,0,0.00980150843161576,1.13698316819975E-06,3.2439295105602E-07,-7.75777245952202E-13,3.12651719169867E-07,-4.26144996246123E-13,1.38231670444798E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_right_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_right_axle.STL,,front_axle_1-2,Origin_joint_front_right_axle,Axis_joint_front_right_axle,joint_front_right_axle,revolute,-0.16,-0.015,-0.0346,1.5708,0,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
link_front_right_rim,2.77555756156289E-17,2.77555756156289E-17,-0.00544664582406959,0,0,0,0.0269891429421557,1.06871584170567E-06,5.29395592033938E-23,1.73164791753298E-22,1.06871584170567E-06,7.51528398613046E-23,1.59499688104541E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_right_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_right_rim.STL,,wheel_1-6,Origin_joint_front_right_rim,Axis_joint_front_right_rim,joint_front_right_rim,continuous,0.003,-0.027,0,1.5708,-0.93241,-1.5708,link_front_right_axle,0,0,1,,,,,,,,,,,,
link_front_right_tyre,0,0,0.00599999999999997,0,0,0,0.00176187281891002,1.38738251479273E-07,-2.76591370085178E-39,3.18518483981357E-38,1.38738251479273E-07,-9.19988344967612E-40,2.34006429114269E-07,0,0,0,0,0,0,package://rocr/meshes/link_front_right_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_front_right_tyre.STL,,tyre_1-5,Origin_joint_front_right_tyre,,joint_front_right_tyre,fixed,0,0,-0.012,0,0,0.63839,link_front_right_rim,0,0,0,,,,,,,,,,,,
